w,h,c,n,k,f_w,f_h,pad_w,pad_h,stride_w,stride_h,precision,fwd_time(usec),fwd_algo,pad_kernels
16,16,4,2,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,4,2,2,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,4,2,4,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,4,2,8,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,2,16,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,2,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,2,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,4,1,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,4,2,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,4,4,4,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,4,4,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,4,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,4,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,4,64,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,8,1,2,2,1,1,1,1,float,6,GEMM,0.0
16,16,4,8,2,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,4,8,4,2,2,1,1,1,1,float,8,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,8,8,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,8,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,8,32,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,4,8,64,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,4,16,1,2,2,1,1,1,1,float,7,GEMM,0.0
16,16,4,16,2,2,2,1,1,1,1,float,7,IMPLICIT_GEMM,0.0
16,16,4,16,4,2,2,1,1,1,1,float,8,IMPLICIT_PRECOMP_GEMM,0.0
16,16,4,16,8,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,4,16,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,4,16,32,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,4,16,64,2,2,1,1,1,1,float,12,IMPLICIT_GEMM,0.0
16,16,8,1,1,2,2,1,1,1,1,float,7,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,1,2,2,2,1,1,1,1,float,7,IMPLICIT_GEMM,0.0
16,16,8,1,4,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,1,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,1,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,1,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,1,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,2,1,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,2,2,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,2,4,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,2,8,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,2,16,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,2,32,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,2,64,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,4,1,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,8,4,2,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,4,4,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,4,8,2,2,1,1,1,1,float,10,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,4,16,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,4,32,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,4,64,2,2,1,1,1,1,float,10,IMPLICIT_GEMM,0.0
16,16,8,8,1,2,2,1,1,1,1,float,9,IMPLICIT_GEMM,0.0
16,16,8,8,2,2,2,1,1,1,1,float,8,IMPLICIT_GEMM,0.0
16,16,8,8,4,2,2,1,1,1,1,float,8,GEMM,0.0
16,16,8,8,8,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
16,16,8,8,16,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,8,8,32,2,2,1,1,1,1,float,11,IMPLICIT_GEMM,0.0
16,16,8,8,64,2,2,1,1,1,1,float,11,IMPLICIT_PRECOMP_GEMM,0.0
